
> crm_system@0.1.0 dev
> next dev --turbopack --hostname 0.0.0.0 --port 3000

 ⚠ Warning: Found multiple lockfiles. Selecting /Users/charlie.ppy/package-lock.json.
   Consider removing the lockfiles at:
   * /Users/charlie.ppy/Desktop/github_CRM/CRM_system_all/crm_system/package-lock.json

   ▲ Next.js 15.4.5 (Turbopack)
   - Local:        http://localhost:3000
   - Network:      http://0.0.0.0:3000

 ✓ Starting...
 ✓ Compiled middleware in 63ms
 ✓ Ready in 794ms
 ○ Compiling /api/auth/login ...
 ✓ Compiled /api/auth/login in 584ms
 POST /api/auth/login 401 in 1403ms
 ○ Compiling / ...
 ✓ Compiled / in 1018ms
 HEAD / 200 in 1167ms
 ✓ Compiled /login in 189ms
 GET /login?redirect=%2F 200 in 233ms
 ✓ Compiled /api/auth/me in 112ms
 GET /api/auth/me 401 in 140ms
 GET /favicon.ico?favicon.45db1c09.ico 200 in 330ms
 POST /api/auth/login 401 in 290ms
 GET /login?redirect=%2F 200 in 86ms
 GET /api/auth/me 401 in 30ms
 GET /favicon.ico?favicon.45db1c09.ico 200 in 227ms
 POST /api/auth/login 401 in 284ms
 HEAD / 200 in 60ms
 GET / 200 in 46ms
 GET /api/auth/me 200 in 41ms
 GET /favicon.ico?favicon.45db1c09.ico 200 in 228ms
 ⚠ Cross origin request detected from crm.local to /_next/* resource. In a future major version of Next.js, you will need to explicitly configure "allowedDevOrigins" in next.config to allow this.
Read more: https://nextjs.org/docs/app/api-reference/config/next-config-js/allowedDevOrigins
 ✓ Compiled /_not-found/page in 174ms
 GET /_next/webpack-hmr 404 in 239ms
 ✓ Compiled /attendance in 150ms
 GET /attendance 200 in 181ms
 ✓ Compiled /api/attendance/accessible in 53ms
 GET /api/attendance/accessible 200 in 96ms
 GET /api/attendance/accessible 200 in 36ms
 ✓ Compiled /attendance/activity_management in 117ms
 GET /attendance/activity_management 200 in 154ms
 ✓ Compiled /api/activities in 56ms
 GET /api/accounts?role=trainer 200 in 90ms
 GET /api/accounts?role=trainer 200 in 20ms
 GET /api/activities 200 in 360ms
 GET /api/activities 200 in 35ms
 ✓ Compiled /attendance/check in 135ms
 GET /attendance/check 200 in 159ms
 ✓ Compiled /api/attendance/by-date in 61ms
 GET /api/attendance/by-date?date=2025-08-13 200 in 95ms
 GET /api/attendance/by-date?date=2025-08-13 200 in 49ms
 ✓ Compiled /attendance/add in 145ms
 GET /attendance/add 200 in 172ms
 GET /api/activities 200 in 25ms
 GET /api/activities 200 in 26ms
 ✓ Compiled /attendance/by_name in 151ms
 GET /attendance/by_name 200 in 172ms
 GET /api/attendance/accessible 200 in 30ms
 GET /api/attendance/accessible 200 in 31ms
 ✓ Compiled /api/auth/logout in 49ms
 POST /api/auth/logout 200 in 66ms
 GET /login 200 in 20ms
